location,new_cases_per_million,Year,Quarter,Month,Day
Afghanistan,0,2019,Qtr 4,December,31
Afghanistan,0,2020,Qtr 1,January,1
Afghanistan,0,2020,Qtr 1,January,2
Afghanistan,0,2020,Qtr 1,January,3
Afghanistan,0,2020,Qtr 1,January,4
Afghanistan,0,2020,Qtr 1,January,5
Afghanistan,0,2020,Qtr 1,January,6
Afghanistan,0,2020,Qtr 1,January,7
Afghanistan,0,2020,Qtr 1,January,8
Afghanistan,0,2020,Qtr 1,January,9
Afghanistan,0,2020,Qtr 1,January,10
Afghanistan,0,2020,Qtr 1,January,11
Afghanistan,0,2020,Qtr 1,January,12
Afghanistan,0,2020,Qtr 1,January,13
Afghanistan,0,2020,Qtr 1,January,14
Afghanistan,0,2020,Qtr 1,January,15
Afghanistan,0,2020,Qtr 1,January,16
Afghanistan,0,2020,Qtr 1,January,17
Afghanistan,0,2020,Qtr 1,January,18
Afghanistan,0,2020,Qtr 1,January,19
Afghanistan,0,2020,Qtr 1,January,20
Afghanistan,0,2020,Qtr 1,January,21
Afghanistan,0,2020,Qtr 1,January,22
Afghanistan,0,2020,Qtr 1,January,23
Afghanistan,0,2020,Qtr 1,January,24
Afghanistan,0,2020,Qtr 1,January,25
Afghanistan,0,2020,Qtr 1,January,26
Afghanistan,0,2020,Qtr 1,January,27
Afghanistan,0,2020,Qtr 1,January,28
Afghanistan,0,2020,Qtr 1,January,29
Afghanistan,0,2020,Qtr 1,January,30
Afghanistan,0,2020,Qtr 1,January,31
Afghanistan,0,2020,Qtr 1,February,1
Afghanistan,0,2020,Qtr 1,February,2
Afghanistan,0,2020,Qtr 1,February,3
Afghanistan,0,2020,Qtr 1,February,4
Afghanistan,0,2020,Qtr 1,February,5
Afghanistan,0,2020,Qtr 1,February,6
Afghanistan,0,2020,Qtr 1,February,7
Afghanistan,0,2020,Qtr 1,February,8
Afghanistan,0,2020,Qtr 1,February,9
Afghanistan,0,2020,Qtr 1,February,10
Afghanistan,0,2020,Qtr 1,February,11
Afghanistan,0,2020,Qtr 1,February,12
Afghanistan,0,2020,Qtr 1,February,13
Afghanistan,0,2020,Qtr 1,February,14
Afghanistan,0,2020,Qtr 1,February,15
Afghanistan,0,2020,Qtr 1,February,16
Afghanistan,0,2020,Qtr 1,February,17
Afghanistan,0,2020,Qtr 1,February,18
Afghanistan,0,2020,Qtr 1,February,19
Afghanistan,0,2020,Qtr 1,February,20
Afghanistan,0,2020,Qtr 1,February,21
Afghanistan,0,2020,Qtr 1,February,22
Afghanistan,0,2020,Qtr 1,February,23
Afghanistan,0,2020,Qtr 1,February,24
Afghanistan,0.026,2020,Qtr 1,February,25
Afghanistan,0,2020,Qtr 1,February,26
Afghanistan,0,2020,Qtr 1,February,27
Afghanistan,0,2020,Qtr 1,February,28
Afghanistan,0,2020,Qtr 1,February,29
Afghanistan,0,2020,Qtr 1,March,1
Afghanistan,0,2020,Qtr 1,March,2
Afghanistan,0.077,2020,Qtr 1,March,8
Afghanistan,0.077,2020,Qtr 1,March,11
Afghanistan,0.077,2020,Qtr 1,March,15
Afghanistan,0.154,2020,Qtr 1,March,16
Afghanistan,0.128,2020,Qtr 1,March,17
Afghanistan,0.026,2020,Qtr 1,March,18
Afghanistan,0,2020,Qtr 1,March,19
Afghanistan,0,2020,Qtr 1,March,20
Afghanistan,0.051,2020,Qtr 1,March,21
Afghanistan,0,2020,Qtr 1,March,22
Afghanistan,0.257,2020,Qtr 1,March,23
Afghanistan,0.154,2020,Qtr 1,March,24
Afghanistan,0.051,2020,Qtr 1,March,25
Afghanistan,0.848,2020,Qtr 1,March,26
Afghanistan,0,2020,Qtr 1,March,27
Afghanistan,0.411,2020,Qtr 1,March,28
Afghanistan,0.385,2020,Qtr 1,March,29
Afghanistan,0.206,2020,Qtr 1,March,30
Afghanistan,0.694,2020,Qtr 1,March,31
Afghanistan,0.642,2020,Qtr 2,April,1
Afghanistan,0.668,2020,Qtr 2,April,2
Afghanistan,1.105,2020,Qtr 2,April,3
Afghanistan,0,2020,Qtr 2,April,4
Afghanistan,0.899,2020,Qtr 2,April,5
Afghanistan,0.745,2020,Qtr 2,April,6
Afghanistan,0.976,2020,Qtr 2,April,7
Afghanistan,0.771,2020,Qtr 2,April,8
Afghanistan,1.439,2020,Qtr 2,April,9
Afghanistan,1.567,2020,Qtr 2,April,10
Afghanistan,0.95,2020,Qtr 2,April,11
Afghanistan,0.873,2020,Qtr 2,April,12
Afghanistan,1.336,2020,Qtr 2,April,13
Afghanistan,1.49,2020,Qtr 2,April,14
Afghanistan,1.259,2020,Qtr 2,April,15
Afghanistan,1.798,2020,Qtr 2,April,16
Afghanistan,0.257,2020,Qtr 2,April,17
Afghanistan,1.31,2020,Qtr 2,April,18
Afghanistan,1.618,2020,Qtr 2,April,19
Afghanistan,2.261,2020,Qtr 2,April,20
Afghanistan,0.899,2020,Qtr 2,April,21
Afghanistan,1.567,2020,Qtr 2,April,22
Afghanistan,2.158,2020,Qtr 2,April,23
Afghanistan,2.697,2020,Qtr 2,April,24
Afghanistan,1.798,2020,Qtr 2,April,25
Afghanistan,2.877,2020,Qtr 2,April,26
Afghanistan,1.747,2020,Qtr 2,April,27
Afghanistan,4.418,2020,Qtr 2,April,28
Afghanistan,3.185,2020,Qtr 2,April,29
Afghanistan,3.134,2020,Qtr 2,April,30
Afghanistan,5.703,2020,Qtr 2,May,1
Afghanistan,4.213,2020,Qtr 2,May,2
Afghanistan,3.442,2020,Qtr 2,May,3
Afghanistan,6.037,2020,Qtr 2,May,4
Afghanistan,4.881,2020,Qtr 2,May,5
Afghanistan,8.477,2020,Qtr 2,May,6
Afghanistan,4.316,2020,Qtr 2,May,7
Afghanistan,4.393,2020,Qtr 2,May,8
Afghanistan,5.523,2020,Qtr 2,May,9
Afghanistan,6.55,2020,Qtr 2,May,10
Afghanistan,9.479,2020,Qtr 2,May,11
Afghanistan,7.321,2020,Qtr 2,May,12
Afghanistan,7.193,2020,Qtr 2,May,13
Afghanistan,6.653,2020,Qtr 2,May,14
Afghanistan,2.903,2020,Qtr 2,May,15
Afghanistan,27.307,2020,Qtr 2,May,16
Afghanistan,0,2020,Qtr 2,May,17
Afghanistan,6.73,2020,Qtr 2,May,18
Afghanistan,10.481,2020,Qtr 2,May,19
Afghanistan,14.925,2020,Qtr 2,May,20
Afghanistan,12.639,2020,Qtr 2,May,21
Afghanistan,13.64,2020,Qtr 2,May,22
Afghanistan,13.872,2020,Qtr 2,May,23
Afghanistan,20.088,2020,Qtr 2,May,24
Afghanistan,15.002,2020,Qtr 2,May,25
Afghanistan,15.182,2020,Qtr 2,May,26
Afghanistan,16.903,2020,Qtr 2,May,27
Afghanistan,16.055,2020,Qtr 2,May,28
Afghanistan,14.899,2020,Qtr 2,May,29
Afghanistan,16.004,2020,Qtr 2,May,30
Afghanistan,22.246,2020,Qtr 2,May,31
Afghanistan,17.468,2020,Qtr 2,June,1
Afghanistan,14,2020,Qtr 2,June,2
Afghanistan,19.497,2020,Qtr 2,June,3
Afghanistan,19.472,2020,Qtr 2,June,4
Afghanistan,20.217,2020,Qtr 2,June,5
